Date,Open,High,Low,Close,Adj Close,Volume
"Aug 25, 2006",1295.92,1298.88,1292.39,1295.09,1295.09,1667580000
"Aug 24, 2006",1292.97,1297.23,1291.4,1296.06,1296.06,1930320000
"Aug 23, 2006",1298.73,1301.5,1289.82,1292.99,1292.99,1893670000
"Aug 22, 2006",1297.52,1302.49,1294.44,1298.82,1298.82,1908740000
"Aug 21, 2006",1302.3,1302.3,1295.51,1297.52,1297.52,1759240000
"Aug 18, 2006",1297.48,1302.3,1293.57,1302.3,1302.3,2033910000
"Aug 17, 2006",1295.37,1300.78,1292.71,1297.48,1297.48,2458340000
"Aug 16, 2006",1285.27,1296.21,1285.27,1295.43,1295.43,2554570000
"Aug 15, 2006",1268.19,1286.23,1268.19,1285.58,1285.58,2334100000
"Aug 14, 2006",1266.67,1278.9,1266.67,1268.21,1268.21,2118020000
"Aug 11, 2006",1271.64,1271.64,1262.08,1266.74,1266.74,2004540000
"Aug 10, 2006",1265.72,1272.55,1261.3,1271.81,1271.81,2402190000
"Aug 09, 2006",1271.13,1283.74,1264.73,1265.95,1265.95,2555180000
"Aug 08, 2006",1275.67,1282.75,1268.37,1271.48,1271.48,2457840000
"Aug 07, 2006",1279.31,1279.31,1273,1275.77,1275.77,2045660000
"Aug 04, 2006",1280.26,1292.92,1273.82,1279.36,1279.36,2530970000
"Aug 03, 2006",1278.22,1283.96,1271.25,1280.27,1280.27,2728440000
"Aug 02, 2006",1270.73,1283.42,1270.73,1277.41,1277.41,2610750000
"Aug 01, 2006",1278.53,1278.66,1265.71,1270.92,1270.92,2527690000
"Jul 31, 2006",1278.53,1278.66,1274.31,1276.66,1276.66,2461300000
"Jul 28, 2006",1263.15,1280.42,1263.15,1278.55,1278.55,2480420000
"Jul 27, 2006",1268.2,1275.85,1261.92,1263.2,1263.2,2776710000
"Jul 26, 2006",1268.87,1273.89,1261.94,1268.4,1268.4,2667710000
"Jul 25, 2006",1260.91,1272.39,1257.19,1268.88,1268.88,2563930000
"Jul 24, 2006",1240.25,1262.5,1240.25,1260.91,1260.91,2312720000
"Jul 21, 2006",1249.12,1250.96,1238.72,1240.29,1240.29,2704090000
"Jul 20, 2006",1259.81,1262.56,1249.13,1249.13,1249.13,2345580000
"Jul 19, 2006",1236.74,1261.81,1236.74,1259.81,1259.81,2701980000
"Jul 18, 2006",1234.48,1239.86,1224.54,1236.86,1236.86,2481750000
"Jul 17, 2006",1236.2,1240.07,1231.49,1234.49,1234.49,2146410000
"Jul 14, 2006",1242.29,1242.7,1228.45,1236.2,1236.2,2467120000
"Jul 13, 2006",1258.58,1258.58,1241.43,1242.28,1242.28,2545760000
"Jul 12, 2006",1272.39,1273.31,1257.29,1258.6,1258.6,2250450000
"Jul 11, 2006",1267.26,1273.64,1259.65,1272.43,1272.43,2310850000
"Jul 10, 2006",1265.46,1274.06,1264.46,1267.34,1267.34,1854590000
"Jul 07, 2006",1274.08,1275.38,1263.13,1265.48,1265.48,1988150000
"Jul 06, 2006",1270.58,1278.32,1270.58,1274.08,1274.08,2009160000
"Jul 05, 2006",1280.05,1280.05,1265.91,1270.91,1270.91,2165070000
"Jul 03, 2006",1270.06,1280.38,1270.06,1280.19,1280.19,1114470000
"Jun 30, 2006",1272.86,1276.3,1270.2,1270.2,1270.2,3049560000
"Jun 29, 2006",1245.94,1272.88,1245.94,1272.87,1272.87,2621250000
"Jun 28, 2006",1238.99,1247.06,1237.59,1246,1246,2085490000
"Jun 27, 2006",1250.55,1253.37,1238.94,1239.2,1239.2,2203130000
"Jun 26, 2006",1244.5,1250.92,1243.68,1250.56,1250.56,1878580000
"Jun 23, 2006",1245.59,1253.13,1241.43,1244.5,1244.5,2017270000
"Jun 22, 2006",1251.92,1251.92,1241.53,1245.6,1245.6,2148180000
"Jun 21, 2006",1240.09,1257.96,1240.09,1252.2,1252.2,2361230000
"Jun 20, 2006",1240.12,1249.01,1238.87,1240.12,1240.12,2232950000
"Jun 19, 2006",1251.54,1255.93,1237.17,1240.13,1240.13,2517200000
"Jun 16, 2006",1256.16,1256.27,1246.33,1251.54,1251.54,2783390000
"Jun 15, 2006",1230.01,1258.64,1230.01,1256.16,1256.16,2775480000
"Jun 14, 2006",1223.66,1231.46,1219.29,1230.04,1230.04,2667990000
"Jun 13, 2006",1236.08,1243.37,1222.52,1223.69,1223.69,3215770000
"Jun 12, 2006",1252.27,1255.22,1236.43,1237.44,1237.44,2247010000
"Jun 09, 2006",1257.93,1262.58,1250.03,1252.3,1252.3,2214000000
"Jun 08, 2006",1256.08,1259.85,1235.18,1257.93,1257.93,3543790000
"Jun 07, 2006",1263.61,1272.47,1255.77,1256.15,1256.15,2644170000
"Jun 06, 2006",1265.23,1269.88,1254.46,1263.85,1263.85,2697650000
"Jun 05, 2006",1288.16,1288.16,1264.66,1265.29,1265.29,2313470000
"Jun 02, 2006",1285.71,1290.68,1280.22,1288.22,1288.22,2295540000
"Jun 01, 2006",1270.05,1285.71,1269.19,1285.71,1285.71,2360160000
"May 31, 2006",1259.38,1270.09,1259.38,1270.09,1270.09,2692160000
"May 30, 2006",1280.04,1280.04,1259.87,1259.87,1259.87,2176190000
